Time (s),Pages Processed,Pages/Second
1.00,0,0.00
2.00,0,0.00
3.00,0,0.00
4.01,0,0.00
5.01,0,0.00
6.01,0,0.00
7.01,0,0.00
8.01,0,0.00
9.01,0,0.00
10.01,4,0.40
11.01,4,0.36
12.01,4,0.33
13.01,4,0.31
14.01,4,0.29
15.01,4,0.27
16.02,4,0.25
17.02,4,0.24
18.02,4,0.22
19.02,4,0.21
20.02,4,0.20
21.02,4,0.19
22.02,4,0.18
23.02,4,0.17
24.02,4,0.17
25.03,4,0.16
26.03,11,0.42
27.03,11,0.41
28.03,11,0.39
29.03,11,0.38
30.03,11,0.37
31.03,11,0.35
32.03,11,0.34
33.03,11,0.33
34.03,11,0.32
35.03,11,0.31
36.04,11,0.31
37.04,11,0.30
38.04,23,0.60
39.04,23,0.59
40.04,23,0.57
41.04,23,0.56
42.04,23,0.55
43.04,23,0.53
44.04,23,0.52
45.04,23,0.51
46.05,23,0.50
47.05,23,0.49
48.05,23,0.48
49.05,23,0.47
50.05,23,0.46
51.05,23,0.45
52.05,23,0.44
53.05,23,0.43
54.05,23,0.43
55.05,23,0.42
56.05,23,0.41
57.05,23,0.40
58.06,23,0.40
59.06,23,0.39
60.06,23,0.38
61.06,23,0.38
62.06,23,0.37
63.06,23,0.36
64.06,23,0.36
65.06,23,0.35
66.07,23,0.35
67.07,23,0.34
68.07,23,0.34
69.07,23,0.33
70.07,23,0.33
71.07,23,0.32
72.07,23,0.32
73.07,23,0.31
74.07,23,0.31
75.07,23,0.31
76.08,23,0.30
77.08,23,0.30
78.08,23,0.29
79.08,23,0.29
80.08,23,0.29
81.08,23,0.28
82.08,23,0.28
83.08,23,0.28
84.08,23,0.27
85.09,23,0.27
86.08,23,0.27
87.09,23,0.26
88.09,23,0.26
89.09,23,0.26
90.09,23,0.26
91.09,23,0.25
92.09,23,0.25
93.09,23,0.25
94.09,23,0.24
95.09,23,0.24
96.10,23,0.24
97.10,23,0.24
98.10,23,0.23
99.10,23,0.23
100.10,23,0.23
101.10,23,0.23
102.10,23,0.23
103.10,23,0.22
104.10,23,0.22
105.10,23,0.22
106.10,23,0.22
107.11,23,0.21
108.11,23,0.21
109.11,23,0.21
110.11,23,0.21
111.11,23,0.21
112.11,23,0.21
113.11,23,0.20
114.11,23,0.20
115.11,23,0.20
116.12,23,0.20
117.12,23,0.20
118.12,23,0.19
119.12,23,0.19
120.12,23,0.19
121.12,23,0.19
122.12,23,0.19
123.12,23,0.19
124.12,23,0.19
125.12,23,0.18
126.12,23,0.18
127.13,23,0.18
128.13,23,0.18
129.13,23,0.18
130.13,23,0.18
131.13,23,0.18
132.13,23,0.17
133.13,23,0.17
134.13,23,0.17
135.13,23,0.17
136.14,23,0.17
137.14,23,0.17
138.14,23,0.17
139.14,23,0.17
140.14,23,0.16
141.14,23,0.16
142.14,23,0.16
143.14,23,0.16
144.14,23,0.16
145.14,23,0.16
146.15,23,0.16
147.15,23,0.16
148.15,23,0.16
149.15,23,0.15
150.15,23,0.15
151.15,23,0.15
152.15,23,0.15
153.15,23,0.15
154.15,23,0.15
155.15,23,0.15
156.16,23,0.15
157.16,23,0.15
158.16,23,0.15
159.16,23,0.14
160.16,23,0.14
161.16,23,0.14
162.16,23,0.14
163.16,23,0.14
164.16,23,0.14
165.16,23,0.14
166.16,23,0.14
167.17,23,0.14
168.17,23,0.14
169.17,23,0.14
170.17,23,0.14
171.17,23,0.13
172.17,23,0.13
173.17,23,0.13
174.17,23,0.13
175.17,23,0.13
176.17,23,0.13
177.17,23,0.13
178.17,23,0.13
179.18,23,0.13
180.18,23,0.13
181.18,23,0.13
182.18,23,0.13
183.18,23,0.13
184.18,23,0.12
185.18,23,0.12
186.18,23,0.12
187.18,46,0.25
188.18,46,0.24
189.18,46,0.24
190.18,46,0.24
191.18,46,0.24
192.18,46,0.24
193.19,46,0.24
194.19,46,0.24
195.19,46,0.24
196.19,46,0.23
197.19,46,0.23
198.19,46,0.23
199.19,46,0.23
200.19,46,0.23
201.19,46,0.23
202.20,46,0.23
203.20,46,0.23
204.20,46,0.23
205.20,46,0.22
206.20,46,0.22
207.20,46,0.22
208.20,46,0.22
209.20,46,0.22
210.20,46,0.22
211.21,46,0.22
212.21,46,0.22
213.21,46,0.22
214.21,46,0.21
215.21,46,0.21
216.21,46,0.21
217.21,46,0.21
218.21,46,0.21
219.21,46,0.21
220.22,46,0.21
221.22,46,0.21
222.22,46,0.21
223.22,46,0.21
224.22,46,0.21
225.22,46,0.20
226.22,46,0.20
226.37,58,0.26
